GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,standard,LearnSy,FAIL,1.2338372920639813,71.75190662499517,611,4,336,1351,9.659511472982976,1.1332020997375327,2,"[1.5608723328914493, 1.6269129579886794]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,standard,LearnSy,FAIL,1.7219832078553736,68.61626287479885,5,4,336,1351,9.659511472982976,1.1332020997375327,1,[0.027727667009457946]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,FAIL,1.1813901660498232,74.13872520811856,44,4,336,1351,9.659511472982976,1.1332020997375327,3,"[2.7593004999216646, 0.29467045795172453, 0.2928904581349343]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,standard,LearnSy,FAIL,1.5164099580142647,85.99795983289368,438,4,336,1351,9.659511472982976,1.1332020997375327,13,"[1.6944027501158416, 1.550442583160475, 1.6386967501603067, 1.568203582894057, 1.6530909580178559, 1.2059027089271694, 1.0743569999467582, 1.0369478329084814, 1.0524724170099944, 1.0256936671212316, 1.034754040883854, 1.02357624983415, 1.019339666934684]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,False,1.4555272080469877,74.98813391593285,46,1,336,1351,9.659511472982976,1.1332020997375327,9,"[2.030097750015557, 0.5706157500389963, 0.5171415000222623, 0.5117978330235928, 0.5119374999776483, 0.32723320787772536, 0.2826450418215245, 0.27080641593784094, 0.002162874909117818]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,standard,LearnSy,True,1.1868169580120593,67.7846195420716,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Intersection[Smile, EyesOpen]",wedding,standard,LearnSy,True,1.2194915409199893,110.37914904206991,9801,9,336,1351,9.659511472982976,1.1332020997375327,57,"[3.396021957974881, 2.6595908331219107, 2.621650540968403, 3.244060500059277, 3.4671064999420196, 3.7339212498627603, 3.5203173749614507, 3.78332387492992, 0.5544505829457194, 0.42983408318832517, 0.4306942920666188, 0.42610475001856685, 0.42901674984022975, 0.4256411660462618, 0.42550024995580316, 0.3701333331409842, 0.6338797500357032, 0.323315666988492, 0.27834612503647804, 0.27228008303791285, 0.27097666705958545, 0.2708664999809116, 0.27306616702117026, 0.27965745818801224, 0.26960083306767046, 0.2704902500845492, 0.2686081661377102, 0.268307541962713, 0.26633662497624755, 0.26486541610211134, 0.22884979099035263, 0.2284146670717746, 0.2286874579731375, 0.22567945811897516, 0.2258464591577649, 0.2257572920061648, 0.2259673341177404, 0.22629958298057318, 0.22537458292208612, 1.7999165419023484, 0.18667379184626043, 0.1818339170422405, 0.18121779197826982, 0.18231145897880197, 0.1820911669638008, 0.1803803751245141, 0.17934479098767042, 0.1787435421720147, 0.1789297079667449, 0.1777319998946041, 0.1793497910257429, 0.17855766718275845, 0.17837449978105724, 0.17791495798155665, 0.17761683417484164, 0.17759962496347725, 0.17792341602034867]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,standard,LearnSy,True,1.6781561670359224,71.21728779212572,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,standard,LearnSy,True,1.6081342089455575,69.96680120797828,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,FAIL,2.025516875088215,67.49695075000636,3,4,336,1351,9.659511472982976,1.1332020997375327,1,[0.008181249955669045]
