GT Program,Type,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,standard,LearnSy,TRUE,1.6524457500781900,69.00902804220100,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,standard,LearnSy,TRUE,1.3915085839107600,74.24655354209240,4399,1,336,1351,9.659511472982980,1.1332020997375300,1,[5.247905582888052]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,standard,LearnSy,FAIL,1.0068589998409200,69.04923629201950,3,4,336,1351,9.659511472982980,1.1332020997375300,1,[0.006959750084206462]
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,standard,LearnSy,FAIL,1.413547083036970,140.86721633304800,175,4,336,1351,9.659511472982980,1.1332020997375300,76,"[1.464981249999255, 0.9917547919321805, 1.001267250161618, 1.033147124806419, 1.001406874973327, 0.9938484590966254, 1.0109452921897173, 1.0214339171070606, 0.987608625087887, 0.9860358331352472, 0.9869890830013901, 0.9863947499543428, 0.9908834169618785, 0.9699803330004215, 0.9679140418302268, 0.9844151248689741, 0.9644425001461059, 0.9625753329601139, 0.9610557497944683, 0.9637782501522452, 0.9604902910068631, 0.9665797499474138, 0.958920625038445, 0.9760343329980969, 0.954615541966632, 0.9729894998017699, 0.9528906249906868, 0.9531354589853436, 0.9492654588539153, 0.9529755001422018, 0.9509227920789272, 0.9506050830241293, 0.9485619578044862, 0.9468597499653697, 0.9464337080717087, 0.9457193331327289, 0.9468020829372108, 0.9476225411053747, 0.9432164998725057, 0.9224781659431756, 0.9217118329834193, 0.9209348750300705, 0.9170112919528037, 0.9157952920068055, 0.9139209999702871, 0.9119625419843942, 0.9107462079264224, 0.9100093329325318, 0.9124120830092579, 0.9100867500528693, 0.9043581672012806, 0.90246562496759, 0.9024120001122355, 0.8989421250298619, 0.8973313749302179, 0.9013160420581698, 0.9012184999883175, 0.9088736670091748, 0.9002496658358723, 0.893157625105232, 0.8914782078936696, 0.8899629169609398, 0.8884547080378979, 0.8882678328081965, 0.8862580829299986, 0.883679665857926, 0.8867929589468986, 0.8851404590532184, 0.8841290411073714, 0.8835691248532385, 0.8808591251727194, 0.8874992080964148, 0.8749563340097666, 0.8735227498691529, 0.8715152922086418, 0.8725885830353945]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,standard,LearnSy,TRUE,1.2219455000013100,67.60823095799420,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,standard,LearnSy,TRUE,1.1607308750972200,68.94541404210030,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Smile, EyesOpen]",Search ,wedding,standard,LearnSy,TRUE,1.714173125103120,95.7860774169676,1711,1,336,1351,9.659511472982980,1.1332020997375300,5,"[4.947576208040118, 4.953998959157616, 4.9075751670170575, 4.9199856671039015, 4.906807208899409]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,standard,LearnSy,TRUE,1.4951088330708400,67.76778420805930,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,standard,LearnSy,TRUE,2.0673807919956700,71.23166008293630,2,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.005491625051945448]
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,standard,LearnSy,FAIL,1.4395090830512300,73.83970170887190,3743,4,336,1351,9.659511472982980,1.1332020997375300,3,"[1.9105589578393847, 1.0761444580275565, 1.103248791070655]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,standard,LearnSy,TRUE,1.3504212500993200,69.30771562503650,66,1,336,1351,9.659511472982980,1.1332020997375300,2,"[1.3179778340272605, 0.0016904999502003193]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,standard,LearnSy,FAIL,1.4931255001574800,101.30685558402900,8773,4,336,1351,9.659511472982980,1.1332020997375300,6,"[5.107413416961208, 5.1739265830256045, 5.147825874853879, 4.95847654202953, 5.293453375110403, 5.432476083980873]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,standard,LearnSy,TRUE,1.6014608331024600,71.02725820802150,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,standard,LearnSy,TRUE,1.2485953751020100,99.98161762487140,6332,1,336,1351,9.659511472982980,1.1332020997375300,9,"[5.348691833904013, 4.990583958104253, 4.9937434159219265, 4.926756958011538, 4.934067582944408, 4.960229249903932, 0.04725412488915026, 0.045464124996215105, 0.04508545808494091]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,standard,LearnSy,TRUE,1.4512434999924200,94.6740471671801,3500,11,336,1351,9.659511472982980,1.1332020997375300,12,"[4.452300499891862, 4.446339833084494, 4.495819583069533, 4.181431957986206, 0.3260407920461148, 0.2791305829305202, 0.2791932919062674, 0.277957416838035, 0.27922433288767934, 0.2791884171310812, 0.2776450419332832, 0.278026333078742]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,standard,LearnSy,TRUE,1.6568605829961600,67.89216691697950,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,standard,LearnSy,TRUE,1.2299496249761400,190.33310904190900,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,standard,LearnSy,TRUE,1.591815333114940,187.58006162499100,63,1,116,616,15.217532467532500,1.1502403846153800,17,"[0.35695866704918444, 0.3543741670437157, 0.35245070792734623, 0.34565099980682135, 0.34687941684387624, 0.016058375127613544, 0.003255832940340042, 0.002681249985471368, 0.0027236249297857285, 0.003753833007067442, 0.0027689591515809298, 0.001713333185762167, 0.0017340420745313168, 0.0018205840606242418, 0.0019814169500023127, 0.0018695828039199114, 0.0020662921015173197]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,standard,LearnSy,TRUE,1.675429583992810,195.84500570804800,441,3,116,616,15.217532467532500,1.1502403846153800,19,"[0.38821866689249873, 0.39544150000438094, 1.4867916249204427, 0.35711133293807507, 0.3482705831993371, 0.35204220819287, 0.3494456249754876, 0.37334291683509946, 0.3541097501292825, 0.34862791700288653, 0.35356154199689627, 0.3545061668846756, 0.3451294999103993, 0.344992958009243, 0.3582860000897199, 0.34546762495301664, 0.34886429202742875, 0.3427215830888599, 0.34177950001321733]"
Complement(IsObject(Car)),Search,cars,standard,LearnSy,TRUE,1.6020227500703200,190.0608312918340,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,standard,LearnSy,TRUE,0.9576594170648610,185.47646812489300,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
