GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(IsObject(Car), IsObject(Bicycle), GetAround)",cars,standard,LearnSy,True,0.7969139579945477,279.3177779580001,1,1,116,616,15.217532467532468,1.1502403846153846,0,[]
"Map(IsObject(Guitar), IsObject(Microphone), GetAround)",festival,standard,LearnSy,True,0.6315722500003176,54.294458541990025,1,1,338,1525,13.528524590163935,1.1565137130801688,0,[]
"Union[IsObject(Face), IsObject(Person)]",festival,standard,LearnSy,True,0.7013558330072556,49.84149029100081,1,1,338,1525,13.528524590163935,1.1565137130801688,0,[]
"Map(IsObject(Suit), IsObject(Bride), GetLeft)",wedding,standard,LearnSy,True,0.6927160829945933,121.55234441699577,818,1,336,1351,9.659511472982976,1.1332020997375327,22,"[2.9198869579995517, 0.05930025000998285, 0.05622237500210758, 0.05560833300114609, 0.053705208003520966, 0.07471570900816005, 0.004446708000614308, 0.0043917909933952615, 0.004735750000691041, 0.004680958998505957, 0.004617958999006078, 0.004787583005963825, 0.004754833003971726, 0.004735875001642853, 0.004781999989063479, 0.004998707998311147, 0.004814416010049172, 0.004823583003599197, 0.0048270419938489795, 0.006022583998856135, 0.005425499999546446, 0.005051208005170338]"
"Map(Map(IsObject(Bride), IsObject(Face), GetAbove), IsObject(Suit), GetNotAround)",wedding,standard,LearnSy,FAIL,0.7853443329950096,124.41922066600819,80,4,336,1351,9.659511472982976,1.1332020997375327,2,"[3.814678750000894, 0.021156583999982104]"
"Map(IsObject(Face), IsObject(Glasses), GetContains)",wedding,standard,LearnSy,TIMEOUT,0.7038895830046386,711.9706555419834,61,7,336,1351,9.659511472982976,1.1332020997375327,7809,[]
"Intersection[IsObject(Person), Complement(Map(IsObject(Glasses), IsObject(Person), GetIsContained))]",wedding,standard,LearnSy,FAIL,0.7248785000119824,128.91890458398848,120,4,336,1351,9.659511472982976,1.1332020997375327,2,"[3.319616417022189, 0.18561566699645482]"
"Map(MouthOpen, MouthOpen, GetRight)",wedding,standard,LearnSy,FAIL,0.6343649160116911,141.97233695798786,85,4,336,1351,9.659511472982976,1.1332020997375327,43,"[3.2416318340110593, 2.1708689160004724, 1.2810843749903142, 1.1799454999854788, 0.8444371669902466, 0.8504879999964032, 0.8510398750077002, 0.8465014579996932, 0.8715688750089612, 0.9344013749796432, 0.8421320419874974, 0.5813113329932094, 0.584077083010925, 0.5787803750135936, 0.5760845839977264, 0.5727454169827979, 0.27142933299182914, 0.2686388329893816, 0.27184108301298693, 0.2705708749999758, 0.26824591698823497, 0.2670042499958072, 0.2662627910031006, 0.2674935419927351, 0.2662574159912765, 0.26570958402589895, 0.26515916700009257, 0.26425595799810253, 0.2625140839954838, 0.2646862089750357, 0.26641849998850375, 0.26238820800790563, 0.2638695000205189, 0.26797300000907853, 0.3081286660162732, 0.26914449999458157, 0.26050737500190735, 0.2598061250173487, 0.2616969170048833, 0.27441949999774806, 0.2604277080099564, 0.2588110000069719, 0.2681080419861246]"
"Intersection[Smile, Map(Intersection[MouthOpen, Smile], MouthOpen, GetRight)]",wedding,standard,LearnSy,True,0.6409737909852993,136.4786014999845,95,1,336,1351,9.659511472982976,1.1332020997375327,24,"[3.5240724589966703, 3.6550023749878164, 2.421109791001072, 1.1138280000013765, 0.961951000004774, 1.1008589169941843, 0.7547709589998703, 0.7871131249994505, 0.4963642500224523, 0.41493800000171177, 0.40481850001378916, 0.443055124982493, 0.4766210840025451, 0.44289537498843856, 0.4090398330008611, 0.4016992079850752, 0.13021037500584498, 0.13986879200092517, 0.10375891701551154, 0.10401929201907478, 0.10439462499925867, 0.10301575000630692, 0.1044207499944605, 0.10427170799812302]"
"Map(IsObject(Tie), IsObject(Face), GetAbove)",wedding,standard,LearnSy,FAIL,0.8591193750035018,112.99956600001315,9,4,336,1351,9.659511472982976,1.1332020997375327,80,"[0.07143920799717307, 0.0662347920006141, 0.010164250008529052, 0.010370583011535928, 0.003937541012419388, 0.004242083989083767, 0.003944875003071502, 0.0039558749995194376, 0.0039692090067546815, 0.003947916993638501, 0.004075499979080632, 0.0040760420088190585, 0.0041513339965604246, 0.0020901249954476953, 0.001812249975046143, 0.001862334000179544, 0.0018802919948939234, 0.0019114580063614994, 0.0019420000026002526, 0.0019762080046348274, 0.002014000026974827, 0.002041083003859967, 0.0020244170154910535, 0.0020486249995883554, 0.0020752919954247773, 0.002068917005090043, 0.002080708014545962, 0.0021164579957257956, 0.002135041984729469, 0.0022111249854788184, 0.0022197079961188138, 0.0022551250003743917, 0.0022354170214384794, 0.002317124977707863, 0.002275999984703958, 0.0023354580043815076, 0.0023364579828921705, 0.002372916991589591, 0.00241575000109151, 0.0024397499801125377, 0.002607207978144288, 0.002804874995490536, 0.0025401250168215483, 0.0025121670041698962, 0.00257574999704957, 0.002578999992692843, 0.00264904199866578, 0.0026116670051123947, 0.0028002079925499856, 0.002682041988009587, 0.0027217090246267617, 0.002790750004351139, 0.002863083005649969, 0.0028552919975481927, 0.0028264590073376894, 0.0028790420037694275, 0.002850334014510736, 0.002921082981629297, 0.002892999997129664, 0.0030186249932739884, 0.003080832975683734, 0.00305649999063462, 0.0031470000103581697, 0.003059541981201619, 0.003141832974506542, 0.00309354200726375, 0.0031425830093212426, 0.003145333001157269, 0.0031591250153724104, 0.0032049170113168657, 0.003185791982105002, 0.0032102919940371066, 0.003441957989707589, 0.0033692919823806733, 0.0037840830045752227, 0.004392832983285189, 0.0037936669832561165, 0.0034854589903261513, 0.003518292010994628, 0.003555832983693108]"
