GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,2.0023125410079956,54.80082279094495,131,4,100,448,7.330357142857143,2.5057471264367814,16,"[3.7429523749742657, 3.3131732081528753, 3.245009916834533, 3.2821028330363333, 3.2140855831094086, 3.1501993748825043, 3.15142404101789, 3.0964251249097288, 3.10003179195337, 3.0752377500757575, 3.026856667129323, 2.9681043329183012, 2.9515663331840187, 2.8881715829484165, 2.926360750105232, 2.8721344161313027]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 8) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,1.9495242501143366,20.2683888329193,235,4,100,448,7.330357142857143,2.5057471264367814,32,"[14.819391208002344, 0.06471400009468198, 0.02995829191058874, 0.026557709090411663, 0.026480583008378744, 0.026428582845255733, 0.02676337491720915, 0.026048291940242052, 0.026314750080928206, 0.025985207874327898, 0.026068625040352345, 0.02658270811662078, 0.02570870891213417, 0.025708374800160527, 0.025536749977618456, 0.025843917159363627, 0.014434416079893708, 0.01480095786973834, 0.014179792022332549, 0.014467374887317419, 0.014389957999810576, 0.014412916963919997, 0.014615874970331788, 0.014389167074114084, 0.014267082791775465, 0.014126667054370046, 0.010327958967536688, 0.010358749888837337, 0.010084624867886305, 0.010474500013515353, 0.0102335000410676, 0.010315959108993411]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 6) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9907845000270754,17.283404666930437,828,1,100,448,7.330357142857143,2.5057471264367814,12,"[12.367824333021417, 0.0036600420717149973, 0.0014914998319000006, 0.0017020001541823149, 0.001579917035996914, 0.0015677090268582106, 0.0016639579553157091, 0.0016614589840173721, 0.0018344579730182886, 0.0018061250448226929, 0.003145667025819421, 0.002213750034570694]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9300605419557542,22.874570291955024,2734,1,100,448,7.330357142857143,2.5057471264367814,5,"[7.683662999887019, 2.6497322500217706, 2.6068495421204716, 2.5645010829903185, 2.5110605410300195]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9836302080657333,41.21864308300428,384,1,100,448,7.330357142857143,2.5057471264367814,27,"[10.589662708109245, 5.5881841669324785, 3.2295678751543164, 3.193791458150372, 3.138470249949023, 3.129311458906159, 3.1014914999250323, 0.276864874875173, 0.2739390837959945, 0.27282291697338223, 0.27082766708917916, 0.26990729197859764, 0.26625054189935327, 0.26222187490202487, 0.26046395814046264, 0.2570634169969708, 0.25457533402368426, 0.25207212497480214, 0.2504547080025077, 0.25041129207238555, 0.2461434998549521, 0.24387583299539983, 0.24111345899291337, 0.23972466704435647, 0.00411816593259573, 0.004121582955121994, 0.004109333036467433]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.9577863330487162,8.88115983409807,39,7,100,448,7.330357142857143,2.5057471264367814,14,"[0.4297377080656588, 0.41092349984683096, 0.40709941601380706, 0.38378000003285706, 0.3720399159938097, 0.3368607920128852, 0.33300291700288653, 0.32754054199904203, 0.327880583005026, 0.32533012493513525, 0.027739583980292082, 0.020400582812726498, 0.020156417042016983, 0.020494499942287803]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9423857920337468,136.10369875002652,330,1,100,448,7.330357142857143,2.5057471264367814,14,"[6.555209000129253, 10.246567374793813, 10.48548183310777, 10.297233500052243, 10.23662941600196, 10.182010167045519, 10.246140042087063, 9.878755166893825, 9.840428832918406, 9.753438708139583, 9.542384708067402, 9.418437666958198, 9.297674000030383, 5.230886375065893]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9082847500685602,14.221376999979839,213,2,100,448,7.330357142857143,2.5057471264367814,5,"[9.267730250023305, 0.01602850016206503, 0.015752583043649793, 0.01624000002630055, 0.015118082985281944]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,2.06681783311069,20.755123457871377,621,7,100,448,7.330357142857143,2.5057471264367814,14,"[13.019664332969114, 0.580544708063826, 0.5693071249406785, 0.5588451661169529, 0.5286391249392182, 0.03882625000551343, 0.038268957985565066, 0.03814095817506313, 0.03835245897062123, 0.03779533295892179, 0.030262457905337214, 0.023419792065396905, 0.023702708072960377, 0.02453829115256667]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.9431821249891073,4.801639165962115,0,4,100,448,7.330357142857143,2.5057471264367814,0,[]
