GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,RefineHS Time,Select Question Time,Distinguish Time
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.019173957873136,12.108668708009645,605,61,3,"[5.034939792007208, 3.318887749919668, 1.3461754999589175]",3.187854331918061,9.529060376109555,2.409414751222357
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.5381960831582546,24.852208165917546,360,32,14,"[3.917681041872129, 1.766368332784623, 1.392814208054915, 1.1808982910588384, 1.0376721669454128, 1.0716858329251409, 0.9641569999512285, 1.097629375057295, 1.2839817078784108, 1.4565050420351326, 1.4540068341884762, 1.714295499958098, 2.446619207970798, 2.7957372500095516]",4.105225333943963,22.740959832211956,1.5399419171735644
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,2.9255268331617117,0.8741914159618318,26,6,1,[0.5711070001125336],2.937333958223462,0.558634249959141,0.3028896669857204
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,6.958492957986891,10.789359375135973,536,1,6,"[3.5118207919877023, 5.719442707952112, 1.2296526250429451, 0.1696800000499934, 0.06310337479226291, 0.05058195814490318]",7.189327666070312,10.50657995720394,0.04628112609498203
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.0471452919300646,2.6258125419262797,71,1,2,"[2.5169221670366824, 0.06201520888134837]",3.0608205010648817,2.5643297908827662,0.046509958105161786
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,28.0407578330487,20.029128500027582,4981,7,6,"[9.469309124862775, 4.504055125173181, 4.160298083210364, 0.9320771668571979, 0.4094631669577211, 0.21650200011208653]",34.25260508200154,13.466799082234502,0.3451325420755893
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,8.708656042115763,4.001049792161211,704,1,2,"[3.903919250005856, 0.04766362509690225]",8.830928125185892,3.8283710828982294,0.049056333024054766
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.501633459003642,4.738202042179182,381,2,2,"[2.834919417044148, 1.821680041961372]",3.5834390830714256,4.563999000005424,0.09140379191376269
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,59.83285137498751,8.664268041960895,373,7,5,"[4.067321624839678, 2.7807520001661032, 0.6463498750235885, 0.5606574171688408, 0.24184729112312198]",60.27153508388437,7.851063083857298,0.37118516699410975
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.8077640840783715,5.142156000016257,216,13,2,"[3.815542791970074, 0.6802400420419872]",3.922726501012221,4.380103959003463,0.646230167010799
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,5.66571804205887,24.527077333070338,9925,47,5,"[6.468275833874941, 5.120485249906778, 5.932985958177596, 3.363501959014684, 1.508014417020604]",9.543623124947771,18.48038874915801,2.1626824571285397
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,94.51652429089881,9.217743500135839,1015,6,2,"[8.241165541810915, 0.6708568749018013]",96.44228708301671,6.984832956921309,0.30382491694763303
