Domain,Test Setting,Avg. # Rounds of Interaction,Avg. # Initial Programs,Avg. # Final Programs,Avg. Input Space Size,Avg. Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Benchmarks Solved,Avg. Time per Round of Interaction
MNISTActiveLearning,standard_LearnSy,11.38,783.36,14.48,100.0,448.0,7.330357142857144,2.5057471264367814,28,3.2817101454683897
MNISTActiveLearning,standard_SampleSy,2.06,783.36,19.24,100.0,448.0,7.330357142857144,2.5057471264367814,26,1.2085308967727841
MNISTActiveLearning,CCE_SmartLabel,3.88,1556.58,32.14,100.0,444.12,7.330357142857144,2.5057471264367814,50,4.367762530690597
MNISTActiveLearning,CCE-NoAbs_SmartLabel,3.88,1557.12,32.14,100.0,444.12,7.330357142857144,2.5057471264367814,50,8.139760520437626
MNISTActiveLearning,CCE_SmartLabelNoUB,3.88,1556.58,32.14,100.0,444.12,7.330357142857144,2.5057471264367814,50,21.657849689165477
MNISTActiveLearning,CCE_SelectRandom,54.54,1556.58,32.14,100.0,393.46,7.330357142857144,2.5057471264367814,50,0.2773700277247614
ImageEditActiveLearning,standard_LearnSy,50.54054054054054,1314.4864864864865,2.081081081081081,271.72972972972974,1055.6486486486488,11.295473108199255,1.1514720788389736,26,0.41654528603866636
ImageEditActiveLearning,standard_SampleSy,2.054054054054054,1314.4864864864865,5.0,271.72972972972974,1055.6486486486488,11.295473108199255,1.1514720788389736,25,0.6485822642908284
ImageEditActiveLearning,CCE_SmartLabel,3.7837837837837838,1955.4054054054054,8.378378378378379,271.72972972972974,1051.945945945946,11.295473108199255,1.1514720788389736,36,6.7368311818389754
ImageEditActiveLearning,CCE-NoAbs_SmartLabel,3.7837837837837838,1955.4054054054054,8.378378378378379,271.72972972972974,1051.945945945946,11.295473108199255,1.1514720788389736,36,15.595478473846535
ImageEditActiveLearning,CCE_SmartLabelNoUB,3.5675675675675675,1955.4054054054054,5.405405405405405,271.72972972972974,1052.162162162162,11.295473108199255,1.1514720788389736,34,38.21805215748309
ImageEditActiveLearning,CCE_SelectRandom,65.32432432432432,1955.4054054054054,5.783783783783784,271.72972972972974,990.2702702702703,11.295473108199255,1.1514720788389736,36,0.7580481947599658
Overall,standard_LearnSy,28.03448275862069,1009.2413793103449,9.206896551724139,173.0344827586207,706.4252873563219,9.016670829267007,1.929791071711277,54,1.0849662803049693
Overall,standard_SampleSy,2.057471264367816,1009.2413793103449,13.183908045977011,173.0344827586207,706.4252873563219,9.016670829267007,1.929791071711277,51,0.9707873433167583
Overall,CCE_SmartLabel,3.839080459770115,1726.1954022988505,22.03448275862069,173.0344827586207,702.6206896551724,9.016670829267007,1.929791071711277,86,5.360785318597102
Overall,CCE-NoAbs_SmartLabel,3.839080459770115,1726.5057471264367,22.03448275862069,173.0344827586207,702.6206896551724,9.016670829267007,1.929791071711277,86,11.264911758393456
Overall,CCE_SmartLabelNoUB,3.7471264367816093,1726.1954022988505,20.770114942528735,173.0344827586207,702.7126436781609,9.016670829267007,1.929791071711277,84,28.36320774382169
Overall,CCE_SelectRandom,59.12643678160919,1726.1954022988505,20.93103448275862,173.0344827586207,647.2758620689655,9.016670829267007,1.929791071711277,86,0.5032252240163806
