GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,5.209838472306728,22.244410544633865,3875,1,4,"[8.932587333023548, 8.078345604240894, 2.713939744979143, 2.3488685078918934]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'254', '255'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'299'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1587'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1562'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'116', '115'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,6.5269905887544155,13.416778646409512,8590,1,3,"[11.028369091451168, 1.6706758067011833, 0.5992572754621506]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1209', '1210'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1063', '1064'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,6.087745681405067,46.27651560306549,97,7,20,"[6.901335000991821, 2.9009759202599525, 1.7488813772797585, 1.7293007895350456, 1.77981973066926, 1.5903020836412907, 1.5503666624426842, 1.0766519457101822, 1.0301322303712368, 1.0279536321759224, 1.0109088756144047, 1.0461127534508705, 1.1985267028212547, 1.1987830065190792, 2.8902988396584988, 5.347277130931616, 5.312946669757366, 0.5662464685738087, 5.286104280501604, 0.555612362921238]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'730', '733'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2091', '2088'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1060', '1059', '1063'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668134904_o Medium.jpeg', set()), ('wedding/our-wedding_7668587988_o Medium.jpeg', set()), ('wedding/our-wedding_7668615172_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'990', '995'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1148', '1151'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,8.588236413896084,44.0442560762167,1203,1,12,"[11.376227151602507, 7.409877769649029, 6.604462455958128, 2.7730456925928593, 2.1232036910951138, 2.1139858290553093, 2.079790625721216, 2.080712080001831, 2.030422668904066, 1.893981285393238, 1.7626845762133598, 1.7284923493862152]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2082', '2079'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1442'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1063'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'}), ('wedding/our-wedding_7669141806_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,5.272843275219202,10.564361240714788,181,1,3,"[8.663313146680593, 1.2012881971895695, 0.5890843868255615]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1662'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1063'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,5.702166996896267,0.17596009746193886,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'343', '345'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1852', '1843', '1850', '1845', '1847'})]"
"Intersection[Smile, EyesOpen]",wedding,CCE,0.45,1.2594312246082413,23.059374999999996,SmartLabel,True,10.83535872027278,48.788001488894224,4062,1,9,"[10.474588919430971, 8.781639628112316, 9.479223065078259, 12.54330138862133, 1.5475794933736324, 1.5271498039364815, 1.5694155469536781, 1.4062491692602634, 1.3710299693048]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'2033', '2034'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1686', '1684'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1180', '1184', '1183', '1181'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'283'}), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,5.710342086851597,6.251437392085791,14,1,2,"[2.2984828986227512, 3.7937067598104477]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1685'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1466'}), ('wedding/our-wedding_7668005864_o Medium.jpeg', {'335'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'118'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,5.227354645729065,0.16171353310346603,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'745'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1547'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,0.45,1.2594312246082418,23.059374999999996,SmartLabel,True,8.076180525124073,12.980574533343315,208,1,5,"[5.9551017843186855, 1.68019113317132, 1.1721707172691822, 1.958438977599144, 2.1081770919263363]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1185', '1181'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1594'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
