GT Program,Type,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,TRUE,6.870062056928870,50.890352841466700,3875,1,6,"[12.40541648119688, 12.490966442972422, 10.48141524195671, 9.706618078052998, 2.9771330319344997, 2.561462376266718]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'270', '271'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'326'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1800'}), ('wedding/our-wedding_7669054868_o Medium.jpeg', {'1567'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1773'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'116', '117'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,FALSE,8.767321672290560,22.048310209065700,8181,1,3,"[16.750582046806812, 4.177300728857517, 0.8628357537090778]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'167', '166'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'63'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7669442380_o Medium.jpeg', set()), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1645'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.5,1.221180364037510,24.834375000000000,SmartLabel,TRUE,18.30384211614730,37.24039752781390,54,6,20,"[9.86466271057725, 4.042447179555893, 2.0296882688999176, 1.7767890430986881, 1.7145205475389957, 1.5679503083229065, 1.5579243823885918, 0.8169930651783943, 0.6429511941969395, 0.6466962397098541, 0.6506057158112526, 0.5425730720162392, 0.4524356573820114, 1.9046967774629593, 1.7954332455992699, 1.7172283940017223, 1.702046561986208, 1.692451223731041, 1.6879208870232105, 0.24315208196640015]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'841', '835'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2393', '2396'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1199', '1202', '1198'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668036458_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668590818_o Medium.jpeg', set()), ('wedding/our-wedding_7668662792_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'1133', '1128'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1295', '1291'}), ('wedding/our-wedding_7669198916_o Medium.jpeg', {'1858', '1863', '1859', '1864'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,TRUE,8.1080163680017,29.020324289798700,94,1,8,"[10.7776545509696, 5.599314011633396, 2.772100444883108, 2.261223431676626, 2.0723129250109196, 1.9740109704434872, 1.7490737102925777, 1.703012090176344]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2384', '2387'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1644'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1321', '1324', '1326'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'667'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', {'450', '449'}), ('wedding/our-wedding_7667996460_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668036458_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,FAIL,7.1892144829034800,10.089239541441200,33,4,2,"[8.614393837749958, 1.4747742600739002]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'188'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1884'}), ('wedding/our-wedding_7669258646_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1326'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.5,1.221180364037510,24.834375000000000,SmartLabel,TRUE,7.988943729549650,0.28416867181658700,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'374', '376'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'2093', '2091', '2096', '2087', '2089'})]"
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,0.5,1.221180364037510,24.834375000000000,SmartLabel,TRUE,21.422771085053700,174.2705113850530,4346,1,15,"[15.953586019575596, 13.520067408680916, 13.237150680273771, 13.732824243605137, 13.64886075258255, 13.748932052403688, 13.787721373140812, 14.243197452276945, 14.604106768965721, 14.77771583199501, 14.89484541863203, 14.269664105027914, 1.3764875456690788, 1.1886245533823967, 1.1508755050599575]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'2339', '2338'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1907', '1909'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2394', '2396', '2395'}), ('wedding/our-wedding_7669031674_o Medium.jpeg', set()), ('wedding/our-wedding_7669054868_o Medium.jpeg', {'1575'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1203'}), ('wedding/our-wedding_7669425236_o Medium.jpeg', {'2356', '2357'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', {'449', '452', '451', '450'}), ('wedding/our-wedding_7667913892_o Medium.jpeg', {'200'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1322', '1325', '1324', '1321'}), ('wedding/our-wedding_7669258646_o Medium.jpeg', {'1951', '1952', '1955'}), ('wedding/our-wedding_7669316550_o Medium.jpeg', {'2072', '2071'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'121'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'306'}), ('wedding/our-wedding_7668036458_o Medium.jpeg', {'427'}), ('wedding/our-wedding_7668052228_o Medium.jpeg', {'470'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,TRUE,7.825766392052170,5.3561423830688,14,1,2,"[3.1369337402284145, 1.9801769703626633]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1908'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1670'}), ('wedding/our-wedding_7667886840_o Medium.jpeg', {'113'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'120'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,0.5,1.221180364037510,24.834375,SmartLabel,TRUE,6.901128076016900,0.24848797544837000,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'853'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1756'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.5,1.2211803640375100,24.834375,SmartLabel,TRUE,10.155890733003600,0.16327949985861800,1,1,0,[],"[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1322', '1326'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'167'})]"
