GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.97,SmartLabel,True,9.15889772027731,23.779041398316622,491,61,3,"[7.411753766238689, 3.9867544025182724, 4.3685899414122105]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.97,SmartLabel,True,230.90254762023687,162.89134090393782,2161,40,17,"[12.907455924898386, 24.249409146606922, 12.182695731520653, 11.10332951694727, 11.30579598248005, 7.188300736248493, 7.695823397487402, 8.440689239650965, 3.1497083492577076, 2.8038135804235935, 3.0513047128915787, 3.4820297360420227, 1.668606448918581, 1.3478158079087734, 10.963318515568972, 18.7955020070076, 18.556454207748175]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000005,53.97,SmartLabel,True,10.672823544591665,26.6200300604105,253,6,3,"[23.519084218889475, 1.6655967086553574, 0.45593448728322983]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.97,SmartLabel,True,6.417371582239866,20.635568756610155,485,1,5,"[7.393715970218182, 3.945618648082018, 8.63757098466158, 0.3043651320040226, 0.19987717270851135]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,True,15.517308097332716,8.042402673512697,837,1,3,"[7.456731762737036, 0.3227033317089081, 0.10479525104165077]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,7.08220100030303,22.432457603514194,580,7,6,"[7.755628660321236, 6.4468878619372845, 1.7559779323637486, 2.470176823437214, 2.190005101263523, 0.6910576336085796]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,0.004,2.7274999999999996,53.97000000000001,SmartLabel,True,7.322085425257683,13.21894758939743,1089,1,3,"[10.314280115067959, 2.237751368433237, 0.4998578429222107]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.97,SmartLabel,True,6.040236476808786,11.976672995835543,267,2,4,"[5.820246078073978, 4.085137151181698, 1.2325298935174942, 0.5804525949060917]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,280.38227835297585,23.467422887682915,1090,7,4,"[9.56425928324461, 9.589827682822943, 2.2250885777175426, 0.8534429520368576]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,True,5.053610950708389,5.236811317503452,86,13,2,"[2.751579988747835, 0.5352730192244053]"
